City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
298,Brokopondo,SR,76.6,overcast clouds,4.75,-55.1667,Matu Island
299,Banda Aceh,ID,82.49,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
300,Barra Do Garcas,BR,75.78,clear sky,-15.89,-52.2567,Pousada Tropical
301,Pouebo,NC,75.94,overcast clouds,-20.4,164.5667,RIVÂT LODGE
302,Divnoye,RU,70.18,broken clouds,45.9089,43.3547,Motel Manych-Gudilo
303,Porto Walter,BR,71.56,scattered clouds,-8.2686,-72.7439,Hotel Silva
304,Mormugao,IN,79.03,light rain,15.4,73.8,Coconut Creek Resort
305,Powell River,CA,73.08,broken clouds,49.8496,-124.5361,Rodmay Hotel
306,Shache,CN,78.13,overcast clouds,38.4167,77.2406,Delong Hotel
308,Salinopolis,BR,77.04,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
309,San Cristobal,VE,69.98,broken clouds,7.7669,-72.225,Pirineos
312,Bismarck,US,80.44,clear sky,46.8083,-100.7837,Bismarck Hotel and Conference Center
316,Vila Franca Do Campo,PT,73.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
317,Katherine,AU,68.32,few clouds,-14.4667,132.2667,Pine Tree Motel
319,Kudahuvadhoo,MV,81.37,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
320,Puri,IN,81.12,moderate rain,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
322,Buraydah,SA,82.85,overcast clouds,26.326,43.975,Mövenpick Qassim
324,Ust-Tsilma,RU,71.73,clear sky,65.441,52.1498,U Praskov'i
326,Chakwal,PK,83.93,overcast clouds,32.9334,72.8585,Uet Boys Hostel
329,Innisfail,AU,69.58,broken clouds,-17.5333,146.0333,Moondarra Motel
334,Williston,US,77.74,scattered clouds,48.147,-103.618,Hampton Inn & Suites Williston
338,Brigantine,US,77.04,light rain,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
341,Amahai,ID,78.94,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
342,Magdagachi,RU,72.64,overcast clouds,53.45,125.8,Motopolyana Magdagachi
343,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
344,Porto Novo,BJ,76.82,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
346,Methoni,GR,75.22,clear sky,36.8197,21.7049,Methoni Beach Hotel
349,Ombessa,CM,68.68,overcast clouds,4.603,11.2565,Hotel Elma**
351,Fort Nelson,CA,67.59,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
352,Leshukonskoye,RU,68.47,clear sky,64.8989,45.7622,Pryalitsa Hostel
357,Mouila,GA,68.79,overcast clouds,-1.8685,11.0559,Hôtel du Lac Bleu
362,Zaraza,VE,73.72,broken clouds,9.3503,-65.3245,Hotel Zaraza
363,Biltine,TD,83.32,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
366,Gilgit,PK,79.63,few clouds,35.9221,74.3087,Tourist Hamlet Gilgit
367,Tripoli,LY,76.57,clear sky,32.8752,13.1875,Al Waddan Hotel
371,Biak,ID,78.13,overcast clouds,-0.9131,122.8766,Penginapan Kim
372,Les Cayes,HT,78.82,clear sky,18.2,-73.75,Villa Orphee
379,Samarai,PG,79.92,broken clouds,-10.6167,150.6667,Nuli Sapi
383,Mogadishu,SO,75.49,broken clouds,2.0371,45.3438,Hotel Juba
385,Puerto Narino,CO,75.94,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
387,Quatre Cocos,MU,68.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
388,Malakal,SS,70.54,broken clouds,9.5334,31.6605,Nile Palace Hotel
389,Bria,CF,68.54,overcast clouds,6.5423,21.9863,WFP Guesthouse
390,Cabra,ES,75.29,overcast clouds,37.4725,-4.4421,MS Fuente Las Piedras
391,Daru,PG,80.64,overcast clouds,-9.0763,143.2092,Daru Lodge
393,Noumea,NC,73.0,light rain,-22.2763,166.4572,Hôtel Le Lagon
395,Katsuura,JP,76.93,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
397,Abbeville,FR,70.5,overcast clouds,50.1,1.8333,Hôtel Mercure Abbeville Centre - Porte de la Baie de Somme
399,La Ronge,CA,79.05,clear sky,55.1001,-105.2842,Northland Motor Hotel
400,Sao Joao Do Paraiso,BR,66.83,broken clouds,-15.3136,-42.0144,Avenida Palace Hotel
406,Xuddur,SO,67.64,scattered clouds,4.1213,43.8894,Banjanay Hotel
407,Sao Filipe,CV,75.04,scattered clouds,14.8961,-24.4956,Hotel Xaguate
408,Kutum,SD,74.17,light rain,14.2,24.6667,Dibbo areaمنطقة دبو
410,Nouadhibou,MR,71.58,sand,20.931,-17.0347,El Medina
411,Urumqi,CN,72.55,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
412,Bardiyah,LY,75.58,clear sky,31.7561,25.0865,بورتو بردية
414,Batagay,RU,70.14,clear sky,67.6333,134.6333,Gostinitsa Ki'ileekh
415,Maragogi,BR,74.61,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
416,Maningrida,AU,78.62,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
417,Vilyuysk,RU,77.97,broken clouds,63.7553,121.6247,Gostinitsa Viliuisk
418,Toamasina,MG,66.2,broken clouds,-18.1667,49.3833,Hotel H1
420,Itupiranga,BR,75.52,scattered clouds,-5.1347,-49.3267,Hotel Panorama
428,Nizwa,OM,84.88,overcast clouds,22.9333,57.5333,Orient Apartments
429,Jalu,LY,75.04,clear sky,29.0331,21.5482,صاحبة الفخامة
430,Itaituba,BR,79.05,overcast clouds,-4.2761,-55.9836,Hotel Campos
