City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Zogno,IT,2022-07-10 02:56:56,45.7919,9.6562,70.02,68,0,6.91
156,Tuktoyaktuk,CA,2022-07-10 02:56:57,69.4541,-133.0374,48.2,100,100,8.05
157,Kolpashevo,RU,2022-07-10 02:56:57,58.3131,82.9089,76.35,60,49,4.85
158,Bambous Virieux,MU,2022-07-10 02:56:57,-20.3428,57.7575,68.25,77,40,13.8
159,Anjangaon,IN,2022-07-10 02:56:58,21.1631,77.3094,77.97,86,100,14.76
160,Tacuarembo,UY,2022-07-10 02:56:58,-31.7333,-55.9833,66.11,80,1,15.77
161,Udachnyy,RU,2022-07-10 02:56:59,66.4167,112.4,70.45,39,50,10.76
162,Abashiri,JP,2022-07-10 02:56:59,44.0213,144.2697,71.89,83,75,8.05
163,Forbes,AU,2022-07-10 02:56:59,-33.3833,148.0167,56.91,60,39,11.54
164,Challans,FR,2022-07-10 02:57:00,46.8436,-1.8749,67.12,65,0,12.91
165,Kruisfontein,ZA,2022-07-10 02:57:00,-34.0033,24.7314,55.89,90,46,5.26
166,Maragogi,BR,2022-07-10 02:57:01,-9.0122,-35.2225,74.5,83,6,14.34
167,Poum,NC,2022-07-10 02:57:01,-20.2333,164.0167,78.75,80,62,19.62
168,Kungurtug,RU,2022-07-10 02:57:01,50.5994,97.5228,68.11,42,71,3.38
169,Thompson,CA,2022-07-10 02:57:02,55.7435,-97.8558,62.76,94,75,3.44
170,Lamu,KE,2022-07-10 02:57:02,-2.2717,40.902,75.13,79,84,17.72
171,Chulman,RU,2022-07-10 02:57:03,56.8479,124.9104,64.81,83,100,7.07
172,Tura,IN,2022-07-10 02:57:03,25.5198,90.2201,84.97,68,8,3.11
173,Chokurdakh,RU,2022-07-10 02:57:04,70.6333,147.9167,65.26,33,7,10.09
174,Kaitangata,NZ,2022-07-10 02:57:04,-46.2817,169.8464,45.34,65,11,3.18
175,Tananger,NO,2022-07-10 02:57:04,58.9333,5.6,51.91,85,20,12.66
176,Iqaluit,CA,2022-07-10 02:57:05,63.7506,-68.5145,37.13,93,20,6.91
177,Dzhebariki-Khaya,RU,2022-07-10 02:57:05,62.2167,135.8,84.83,36,97,5.88
178,Dingle,PH,2022-07-10 02:57:06,10.9995,122.6711,84.4,76,79,12.75
179,Farmington,US,2022-07-10 02:55:02,36.7281,-108.2187,85.21,26,8,19.24
180,Cherskiy,RU,2022-07-10 02:57:06,68.75,161.3,52.07,48,62,11.12
181,Eureka,US,2022-07-10 02:58:07,40.8021,-124.1637,66.13,81,14,8.01
182,Requena,ES,2022-07-10 02:58:07,39.4883,-1.1004,64.8,50,0,2.95
183,Emba,KZ,2022-07-10 02:58:07,48.8264,58.1442,75.15,43,59,9.82
184,Shanghai,CN,2022-07-10 02:54:26,31.2222,121.4581,98.46,64,40,6.71
185,Nokaneng,BW,2022-07-10 02:58:08,-19.6667,22.2667,53.17,52,0,6.93
186,Saint-Georges,GD,2022-07-10 02:58:08,12.0564,-61.7485,80.28,89,20,11.5
187,Vestmannaeyjar,IS,2022-07-10 02:58:09,63.4427,-20.2734,52.07,89,100,15.75
188,Pasni,PK,2022-07-10 02:58:09,25.2631,63.471,83.21,82,52,2.21
189,Cockburn Town,TC,2022-07-10 02:58:10,21.4612,-71.1419,81.7,84,100,20.96
190,Bogande,BF,2022-07-10 02:58:10,12.9714,-0.1436,80.94,68,53,14.38
191,Meulaboh,ID,2022-07-10 02:58:10,4.1363,96.1285,81.57,68,98,1.54
192,Urubamba,PE,2022-07-10 02:58:11,-13.3047,-72.1158,50.9,89,54,4.9
193,Bonthe,SL,2022-07-10 02:58:11,7.5264,-12.505,74.01,96,100,4.61
194,Grindavik,IS,2022-07-10 02:57:34,63.8424,-22.4338,50.9,100,100,17.27
195,Asau,RO,2022-07-10 02:58:12,46.4333,26.4,63.95,85,95,2.53
196,Padang,ID,2022-07-10 02:58:12,-0.9492,100.3543,82.45,70,69,2.73
197,Hobyo,SO,2022-07-10 02:58:13,5.3505,48.5268,75.94,74,99,24.05
198,Bonito Oriental,HN,2022-07-10 02:58:13,15.7477,-85.7356,74.39,98,15,1.81
199,Dandong,CN,2022-07-10 02:58:13,40.1292,124.3947,79.61,78,100,2.3
200,Kondratovo,RU,2022-07-10 02:58:14,57.9804,56.1066,66.49,88,0,2.24
201,Hithadhoo,MV,2022-07-10 02:58:14,-0.6,73.0833,82.24,78,89,6.53
202,Waingapu,ID,2022-07-10 02:58:15,-9.6567,120.2641,83.12,68,99,16.75
203,Pevek,RU,2022-07-10 02:58:15,69.7008,170.3133,32.05,97,100,17.07
204,Kahului,US,2022-07-10 02:58:16,20.8947,-156.47,82.98,84,57,13.0
205,Pakxan,LA,2022-07-10 02:58:16,18.3778,103.6601,85.59,70,42,2.37
206,Komsomolskiy,UZ,2022-07-10 02:58:16,40.4272,71.7189,77.72,33,53,9.22
207,Beringovskiy,RU,2022-07-10 02:58:17,63.05,179.3167,48.7,91,100,6.04
